,address,altitude,latitude,longitude,timestamp,rssi,receiver,speed,heading,callsign,distance
489,4D2359,37000.0,52.45335,7.16011,2025-05-24T14:43:01.57256458+02:00,-25.94609797252759,zi-5110,,,,31.451942847597724
426,4D2359,37000.0,52.45221,7.13852,2025-05-24T14:42:55.346847264+02:00,-36.09778386549512,zi-5110,,,,30.41654725239589
418,4D2359,37000.0,52.45204,7.13538,2025-05-24T14:42:54.36218039+02:00,-61.22499489587565,zi-5110,,,,30.268605537082966
410,4D2359,37000.0,52.45184,7.13188,2025-05-24T14:42:53.487708393+02:00,-46.63850340652024,zi-5110,,,,30.103721987027328
401,4D2359,37000.0,52.45166,7.12871,2025-05-24T14:42:52.506236561+02:00,-63.65492911000686,zi-5110,,,,29.955343116387645
391,4D2359,37000.0,52.45152,7.12597,2025-05-24T14:42:51.738659162+02:00,-49.78554006938159,zi-5110,,,,29.829129910380132
372,4D2359,37000.0,52.45129,7.12142,2025-05-24T14:42:50.539394396+02:00,-69.10969541243833,zi-5110,,,,29.621173949080596
364,4D2359,37000.0,52.4511,7.11796,2025-05-24T14:42:49.446744442+02:00,-51.29912279951774,zi-5110,,,,29.462895162331865
354,4D2359,37000.0,52.45092,7.11443,2025-05-24T14:42:48.463430487+02:00,-70.00785670194453,zi-5110,,,,29.30372663413058
339,4D2359,37000.0,52.45073,7.11067,2025-05-24T14:42:47.371412118+02:00,-76.58328799418317,zi-5110,,,,29.13557049345936
334,4D2359,37000.0,52.45052,7.10678,2025-05-24T14:42:46.277740218+02:00,-91.87219383469625,zi-5110,,,,28.961747037692422
328,4D2359,37000.0,52.45036,7.10368,2025-05-24T14:42:45.403154224+02:00,-72.98595755349106,zi-5110,,,,28.82488669139162
321,4D2359,37000.0,52.45017,7.10015,2025-05-24T14:42:44.420515564+02:00,-76.16593726857171,zi-5110,,,,28.669432640711086
311,4D2359,37000.0,52.44999,7.09701,2025-05-24T14:42:43.439947434+02:00,-62.90945874826773,zi-5110,,,,28.531143520341757
298,4D2359,37000.0,52.4498,7.09356,2025-05-24T14:42:42.562455095+02:00,-62.15504806530199,zi-5110,,,,28.381001046627873
293,4D2359,37000.0,52.44961,7.09011,2025-05-24T14:42:41.471637454+02:00,-68.10616712163444,zi-5110,,,,28.232020232544343
286,4D2359,37000.0,52.44946,7.08656,2025-05-24T14:42:40.491314814+02:00,-67.1636062164622,zi-5110,,,,28.084165294919398
279,4D2359,37000.0,52.44928,7.08313,2025-05-24T14:42:39.504966917+02:00,-65.43278994510321,zi-5110,,,,27.93929031071916
270,4D2359,37000.0,52.4491,7.07962,2025-05-24T14:42:38.523390171+02:00,-74.35321109407448,zi-5110,,,,27.792682656241293
260,4D2359,37000.0,52.44892,7.07614,2025-05-24T14:42:37.539053159+02:00,-66.45750521950097,zi-5110,,,,27.64845955333586
252,4D2359,37000.0,52.44873,7.07298,2025-05-24T14:42:36.557254277+02:00,-65.60792635040373,zi-5110,,,,27.516114551918605
242,4D2359,37000.0,52.44859,7.06986,2025-05-24T14:42:35.682009119+02:00,-68.40504367369412,zi-5110,,,,27.390981829469542
236,4D2359,37000.0,52.4484,7.06641,2025-05-24T14:42:34.594115365+02:00,-64.01445149339327,zi-5110,,,,27.250532741238644
224,4D2359,37000.0,52.44822,7.06256,2025-05-24T14:42:33.606932699+02:00,-68.72117577573887,zi-5110,,,,27.098406619272506
217,4D2359,37000.0,52.44808,7.05974,2025-05-24T14:42:32.733384015+02:00,-48.85488716597347,zi-5110,,,,26.987271327113824
210,4D2359,37000.0,52.44786,7.05559,2025-05-24T14:42:31.642166546+02:00,-48.01249837281955,zi-5110,,,,26.82404311397687
200,4D2359,37000.0,52.44766,7.05173,2025-05-24T14:42:30.548300781+02:00,-36.062445840513924,zi-5110,,,,26.674465192384492
191,4D2359,37000.0,52.44747,7.04828,2025-05-24T14:42:29.459356114+02:00,-45.97771199179011,zi-5110,,,,26.541177738114005
182,4D2359,37000.0,52.44731,7.04475,2025-05-24T14:42:28.47673141+02:00,-50.52276714511983,zi-5110,,,,26.409625698249823
172,4D2359,37000.0,52.44713,7.04124,2025-05-24T14:42:27.493130576+02:00,-71.1997191005695,zi-5110,,,,26.278300805967284
0,39E682,36000.0,52.4512,6.6909,2025-05-24T14:42:09.688653068+02:00,-51.621216568383964,zi-5110,,,,26.18386995293188
163,4D2359,37000.0,52.44695,7.03781,2025-05-24T14:42:26.507109874+02:00,-78.8311486659937,zi-5110,,,,26.15104311213577
7,39E682,36000.0,52.44924,6.68856,2025-05-24T14:42:10.888415607+02:00,-56.86299323813336,zi-5110,,,,26.057577351074265
154,4D2359,37000.0,52.44676,7.03468,2025-05-24T14:42:25.633376795+02:00,-68.44231147470109,zi-5110,,,,26.033666817627296
