,address,altitude,latitude,longitude,timestamp,rssi,receiver,speed,heading,callsign,distance
201,39E682,36000.0,52.4134,6.64579,2025-05-24 14:42:30.880611989+02:00,-73.78516110980581,zi-5067,,,,24.166972472095786
206,39E682,36000.0,52.41233,6.64453,2025-05-24 14:42:31.425015867+02:00,-65.29624797796578,zi-5110,,,,24.123107747275213
208,39E682,36000.0,52.41233,6.64453,2025-05-24 14:42:31.428490479+02:00,-241.4024647761493,zi-5067,,,,24.123107747275213
216,39E682,36000.0,52.41037,6.64215,2025-05-24 14:42:32.519472702+02:00,-240.88430833078357,zi-5067,,,,24.04785726175961
223,39E682,36000.0,52.40858,6.64001,2025-05-24 14:42:33.503594235+02:00,-159.39949811715218,zi-5067,,,,23.980208957339368
229,39E682,36000.0,52.40767,6.63896,2025-05-24 14:42:34.049741788+02:00,-69.82549677589125,zi-5067,,,,23.945117606222386
233,39E682,36000.0,52.4068,6.63795,2025-05-24 14:42:34.482777775+02:00,-40.80624952136621,zi-5110,,,,23.91238336544189
234,39E682,36000.0,52.4068,6.63795,2025-05-24 14:42:34.486047298+02:00,-180.89112747727566,zi-5067,,,,23.91238336544189
254,39E682,36000.0,52.40302,6.63347,2025-05-24 14:42:36.669261236+02:00,-128.66468046826216,zi-5067,,,,23.780527532738592
262,39E682,36000.0,52.40103,6.63109,2025-05-24 14:42:37.654007941+02:00,-126.6572145596136,zi-5067,,,,23.716344068941815
272,39E682,36000.0,52.39925,6.62895,2025-05-24 14:42:38.745923091+02:00,-118.09297184845506,zi-5067,,,,23.661983601725854
306,39E682,36000.0,52.39137,6.61957,2025-05-24 14:42:43.110711738+02:00,-39.79384374498146,zi-5110,,,,23.446432399848888
307,39E682,36000.0,52.39137,6.61957,2025-05-24 14:42:43.112826079+02:00,-186.0407213488488,zi-5067,,,,23.446432399848888
318,39E682,36000.0,52.38959,6.61743,2025-05-24 14:42:44.098267873+02:00,-132.66536850286138,zi-5067,,,,23.405441733968658
316,39E682,36000.0,52.38959,6.61743,2025-05-24 14:42:44.095071741+02:00,-34.54562200916348,zi-5110,,,,23.405441733968658
326,39E682,36000.0,52.38776,6.6153,2025-05-24 14:42:45.081602094+02:00,-101.33533441006645,zi-5067,,,,23.362559457485705
332,39E682,36000.0,52.38597,6.61316,2025-05-24 14:42:46.174038054+02:00,-97.27820927628139,zi-5067,,,,23.32587700287964
361,39E682,36000.0,52.38062,6.60675,2025-05-24 14:42:49.124238463+02:00,-109.47602477255009,zi-5067,,,,23.23224069698303
369,39E682,36000.0,52.379,6.60482,2025-05-24 14:42:50.100862664+02:00,-37.107950630558946,zi-5110,,,,23.20789683435897
370,39E682,36000.0,52.379,6.60482,2025-05-24 14:42:50.104272526+02:00,-88.07440036696248,zi-5067,,,,23.20789683435897
